rank,content_hash_id,baseline_score,reason_code,march_impressions,staleness_days
231,content_88ecafceb80f262d,84.02790179309767,STALE_HIGH_OPPORTUNITY,1125,36.0
232,content_5e536911ce194bde,84.00762644665174,STALE_HIGH_OPPORTUNITY,1120,36.0
233,content_7d385fd64452fd29,83.97700222545737,STALE_HIGH_OPPORTUNITY,1113,36.0
234,content_a707381ca8a9e304,83.97700222545737,STALE_HIGH_OPPORTUNITY,1113,36.0
235,content_2af42daa393a487b,83.88006072526275,STALE_HIGH_OPPORTUNITY,1091,36.0
236,content_9abace70356e4fe5,83.85557333210588,STALE_HIGH_OPPORTUNITY,879,81.0
237,content_ce85393bc9b9c5d1,83.84288925677853,STALE_HIGH_OPPORTUNITY,1082,36.0
238,content_69da5399c1dfa71f,83.83296278508105,STALE_HIGH_OPPORTUNITY,1080,36.0
239,content_1b80768a4d22c0af,83.82483152635014,STALE_HIGH_OPPORTUNITY,1078,36.0
240,content_8251b5b7e74cc831,83.74805977183873,STALE_HIGH_OPPORTUNITY,1062,36.0
241,content_3ea77ee3d68424f2,83.73000204141032,STALE_HIGH_OPPORTUNITY,1058,36.0
242,content_aa7100acbeca5e0a,83.6160588184147,STALE_HIGH_OPPORTUNITY,1035,36.0
243,content_7c3f9a5865546cec,83.59969070019011,STALE_HIGH_OPPORTUNITY,1031,36.0
244,content_38c432622787fc5b,83.5552447628755,STALE_HIGH_OPPORTUNITY,829,81.0
245,content_116b4f0261228008,83.55407117068677,STALE_HIGH_OPPORTUNITY,1022,36.0
246,content_46bf98a63346a13f,83.53432382805454,STALE_HIGH_OPPORTUNITY,1018,36.0
247,content_5e8b20b3e231a7db,83.49616784113134,STALE_HIGH_OPPORTUNITY,337,234.0
248,content_f29cdaa1740a8e11,83.44487998201441,STALE_HIGH_OPPORTUNITY,999,36.0
249,content_568a352a39556f3e,83.4273502553997,STALE_HIGH_OPPORTUNITY,995,36.0
250,content_c017585e0b7f8e2e,83.3576537519918,STALE_HIGH_OPPORTUNITY,981,36.0
251,content_9ab00d5274e9c8aa,83.25796663196599,STALE_HIGH_OPPORTUNITY,960,36.0
252,content_5550047adef73df7,83.216254330684,STALE_HIGH_OPPORTUNITY,952,36.0
253,content_aff3c07fb1ddf8d6,83.17950526525074,STALE_HIGH_OPPORTUNITY,945,36.0
254,content_70d30a5863edc3e1,83.15014825320924,STALE_HIGH_OPPORTUNITY,939,36.0
255,content_c68f1a60224aee0a,83.12207533674436,STALE_HIGH_OPPORTUNITY,886,59.0
256,content_db0c67d6d4cdb594,83.05320675301462,STALE_HIGH_OPPORTUNITY,921,36.0
257,content_9d9e46f4d6e0d644,83.03354972565134,STALE_HIGH_OPPORTUNITY,850,61.0
258,content_595ff972a8372ef7,82.95658205510824,STALE_HIGH_OPPORTUNITY,902,36.0
259,content_1bc92181b52444bb,82.88518387012482,STALE_HIGH_OPPORTUNITY,694,113.0
260,content_08fcbdfa0d8c82b5,82.8496084824534,STALE_HIGH_OPPORTUNITY,884,36.0
261,content_ba0a02695eb35f0b,82.83756999550114,STALE_HIGH_OPPORTUNITY,882,36.0
262,content_a40db61d6711fcd5,82.79807087826354,STALE_HIGH_OPPORTUNITY,917,35.0
263,content_a4e0a726b424d6e6,82.78994405150576,STALE_HIGH_OPPORTUNITY,873,36.0
264,content_7e11d27a24be81c3,82.77420510588448,STALE_HIGH_OPPORTUNITY,912,35.0
265,content_02895d816b0e3a95,82.76037583793877,STALE_HIGH_OPPORTUNITY,868,36.0
266,content_fd994a655f0d049b,82.70331731448525,STALE_HIGH_OPPORTUNITY,290,234.0
267,content_2078b8b5f5697951,82.70271782148315,STALE_HIGH_OPPORTUNITY,858,36.0
